variant,class_id,class_name,instances,precision,recall,f1,map50,map75,map50_95
gcd-loss,11,A8_B-52,110,0.9928729008966101,1.0,0.996423706147952,0.995,0.995,0.8326952389136941
gcd-loss,12,A9_P-3C,133,0.9693774113512612,1.0,0.9844506246125126,0.9831892854011944,0.9831892854011944,0.788856430605944
gcd-loss,13,A10_B-1B,111,0.9909406887695078,0.9854577466278375,0.9881916122852118,0.9949099099099098,0.9840858748656913,0.8211549209289097
gcd-loss,14,A11_E-8,65,0.9135925255150816,0.9692307692307692,0.9405895802749654,0.9619758420436326,0.9619758420436326,0.8293213294837797
gcd-loss,15,A12_TU-22,88,0.9558682704007531,0.9845486777902487,0.9699965181628355,0.9936121636983706,0.9695567475841991,0.8544317699502578
gcd-loss,16,A13_F-15,222,0.887891264902932,0.9369369369369369,0.9117550038216866,0.9733966174837393,0.9733966174837393,0.7558579879588903
gcd-loss,17,A14_KC-135,211,0.9154760444704745,0.976303317535545,0.9449117770193737,0.9738090919706734,0.9738090919706734,0.7923932101348325
gcd-loss,18,A15_F-22,73,0.8619114013801592,1.0,0.9258350324738968,0.9891891891891891,0.9460024191681802,0.7966945192624355
gcd-loss,19,A16_FA-18,316,0.9734682492985103,1.0,0.9865557752393935,0.9949050632911393,0.9949050632911393,0.813150109628286
gcd-loss,20,A17_TU-95,165,0.9643423926329786,0.9939393939393939,0.9789172322961444,0.9945782251473309,0.9592867483483786,0.8545803417905752
gcd-loss,21,A18_KC-10,38,1.0,0.8965755092583887,0.9454677706019451,0.9919981238273922,0.9919981238273922,0.8111273367733316
gcd-loss,22,A19_SU-34,153,0.9545113306186009,1.0,0.9767263209638176,0.9888586637605836,0.8934882874585941,0.7607423647345453
gcd-loss,23,A20_SU-24,134,0.8543212588099057,0.9552238805970149,0.9019593381178561,0.9740037486246167,0.9391831280414616,0.8163704560018203
gcd-loss,24,FSC,77,0.7329394271944281,0.7532467532467533,0.7429543500355377,0.7739887662075744,0.28814489305829705,0.3313586011322519
